source,target,type,note,genre,book
微阳,Vi Dương,author,Tác giả,sach-tu-luc,gang-gang-hao-2
做一个刚刚好的女子,Làm một người phụ nữ vừa đẹp,title,Tên sách,sach-tu-luc,gang-gang-hao-2
优雅,thanh lịch,term,Chương 1: duyên dáng thanh lịch,sach-tu-luc,gang-gang-hao-2
气质,khí chất,term,Chương 2: khí chất,sach-tu-luc,gang-gang-hao-2
不攀附,Không bám víu,term,Không dựa dẫm vào người khác,sach-tu-luc,gang-gang-hao-2
不将就,Không chấp nhận tạm bợ,term,Không cam chịu,sach-tu-luc,gang-gang-hao-2
舒婷,Thư Đình,character,Nhà thơ nữ Trung Quốc,sach-tu-luc,gang-gang-hao-2
致橡树,Gửi cây sồi,term,Bài thơ nổi tiếng của Thư Đình,sach-tu-luc,gang-gang-hao-2
玛格丽特·米歇尔,Margaret Mitchell,character,Tác giả Cuốn theo chiều gió,sach-tu-luc,gang-gang-hao-2
飘,Cuốn theo chiều gió,term,Tiểu thuyết nổi tiếng,sach-tu-luc,gang-gang-hao-2
乱世佳人,Cuốn theo chiều gió,term,Tên phim chuyển thể,sach-tu-luc,gang-gang-hao-2
陈燕妮,Trần Yến Ny,character,Nhà văn nữ Trung Quốc tại Mỹ,sach-tu-luc,gang-gang-hao-2
遭遇美国,Đối diện nước Mỹ,term,Tác phẩm của Trần Yến Ny,sach-tu-luc,gang-gang-hao-2
告诉你一个真美国,Kể cho bạn một nước Mỹ thật,term,Tác phẩm của Trần Yến Ny,sach-tu-luc,gang-gang-hao-2
美洲文汇周刊,Châu Mỹ Văn Hối周刊,term,Tạp chí của Trần Yến Ny,sach-tu-luc,gang-gang-hao-2
吉林文史出版社,Nhà xuất bản Văn Sử Cát Lâm,publisher,NXB,sach-tu-luc,gang-gang-hao-2
孙建军,Tôn Kiến Quân,character,Người xuất bản,sach-tu-luc,gang-gang-hao-2
凌霄花,hoa tơ huyết,term,Hoa leo núi (ẩn dụ cho phụ nữ phụ thuộc),sach-tu-luc,gang-gang-hao-2
怨妇,phụ nữ hay than phiền,term,Người phụ nữ hay oán thán,sach-tu-luc,gang-gang-hao-2
从容,tự tại,term,Điềm tĩnh ung dung,sach-tu-luc,gang-gang-hao-2
淡定,bình thản,term,Điềm tĩnh trong lòng,sach-tu-luc,gang-gang-hao-2
自信,tự tin,term,sach-tu-luc,gang-gang-hao-2
内涵,nội hàm,term,Chiều sâu nội tâm,sach-tu-luc,gang-gang-hao-2
品位,phẩm vị,term,Gu thẩm mỹ,sach-tu-luc,gang-gang-hao-2
魅力,sức hút,term,sach-tu-luc,gang-gang-hao-2
知性,trí thức nữ tính,term,Nữ tính tri thức,sach-tu-luc,gang-gang-hao-2
性感,gợi cảm,term,Chương 6,sach-tu-luc,gang-gang-hao-2
撒娇,nũng nịu,term,sach-tu-luc,gang-gang-hao-2
情调,tình điệu,term,sach-tu-luc,gang-gang-hao-2
矜持,kín đáo,term,sach-tu-luc,gang-gang-hao-2
独立,độc lập,term,sach-tu-luc,gang-gang-hao-2
宽容,khoan dung,term,sach-tu-luc,gang-gang-hao-2
温柔,dịu dàng,term,sach-tu-luc,gang-gang-hao-2
善良,lương thiện,term,sach-tu-luc,gang-gang-hao-2
内心向暖,tấm lòng hướng về sự ấm áp,term,Chương 4: sưởi ấm từ bên trong,sach-tu-luc,gang-gang-hao-2
与真实的自己握手言和,bắt tay hòa giải với bản thân thật,term,Chương 5: chấp nhận bản thân,sach-tu-luc,gang-gang-hao-2
