source,target,notes
做一個有風骨的女子,Trở thành người phụ nữ có phong thái,Book title
微阳,Vi Dương,Author name
风骨,Phong thái,Core concept - backbone/integrity
女人,Phụ nữ,Women
气质,Khí chất,Disposition/temperament
修养,Dưỡng chất,Self-cultivation
魅力,Sức hút,Charm
幸福,Hạnh phúc,Happiness
成熟,Trưởng thành,Maturity
淡定,Bình tĩnh,Composure
从容,Từ từ,Leisurely
智慧,Trí tuệ,Wisdom
自信,Tự tin,Confidence
独立,Độc lập,Independence
尊严,Lương khí,Dignity
优雅,Thanh nhã,Elegance
温柔,Dịu dàng,Gentleness
坚强,Mạnh mẽ,Strength
勇敢,Dũng cảm,Courage
真诚,Chân thành,Sincerity
善良,Tốt bụng,Kindness
宽容,Khoan dung,Tolerance
感恩,Biết ơn,Gratitude
乐观,Lạc quan,Optimism
坚韧,Kiên cường,Perseverance
淡泊,Nhạt nhẽo,Indifference to fame
从容不迫,Không vội vã,Calm and unhurried
不迎合,Không xu nịnh,Not catering to others
不将就,Không thỏa hiệp,Not settling
不媚俗,Không mê tục,Not being vulgar
内心强大,Tâm hồn mạnh mẽ,Strong inner self
面带微笑,Mỉm cười,Smiling
法国,Pháp,France
西蒙娜·波伏娃,Simone de Beauvoir,French existentialist writer
索菲亚·罗兰,Sophia Loren,Italian actress
蝴蝶效应,Hiệu ứng bướm,Butterfly effect
岁月,Thời gian,Time/years
修养,Dưỡng chất,Self-cultivation
魅力,Sức hút,Charm
风骨,Phong thái,Backbone/integrity
女人,Phụ nữ,Women
气质,Khí chất,Disposition
幸福,Hạnh phúc,Happiness
成熟,Trưởng thành,Maturity
淡定,Bình tĩnh,Composure
从容,Từ từ,Leisurely
智慧,Trí tuệ,Wisdom
自信,Tự tin,Confidence
独立,Độc lập,Independence
尊严,Lương khí,Dignity
优雅,Thanh nhã,Elegance
温柔,Dịu dàng,Gentleness
坚强,Mạnh mẽ,Strength
勇敢,Dũng cảm,Courage
真诚,Chân thành,Sincerity
善良,Tốt bụng,Kindness
宽容,Khoan dung,Tolerance
感恩,Biết ơn,Gratitude
乐观,Lạc quan,Optimism
坚韧,Kiên cường,Perseverance
淡泊,Nhạt nhẽo,Indifference to fame
从容不迫,Không vội vã,Calm and unhurried
不迎合,Không xu nịnh,Not catering
不将就,Không thỏa hiệp,Not settling
不媚俗,Không mê tục,Not vulgar
内心强大,Tâm hồn mạnh mẽ,Strong inner self
面带微笑,Mỉm cười,Smiling
法国,Pháp,France
西蒙娜·波伏娃,Simone de Beauvoir,French writer
索菲亚·罗兰,Sophia Loren,Italian actress
蝴蝶效应,Hiệu ứng bướm,Butterfly effect
岁月,Thời gian,Time/years
女人,Phụ nữ,Women
风骨,Phong thái,Backbone/integrity
气质,Khí chất,Disposition
幸福,Hạnh phúc,Happiness
修养,Dưỡng chất,Self-cultivation
魅力,Sức hút,Charm
智慧,Trí tuệ,Wisdom
自信,Tự tin,Confidence
独立,Độc lập,Independence
优雅,Thanh nhã,Elegance
坚强,Mạnh mẽ,Strength
勇敢,Dũng cảm,Courage
真诚,Chân thành,Sincerity
善良,Tốt bụng,Kindness
宽容,Khoan dung,Tolerance
感恩,Biết ơn,Gratitude
乐观,Lạc quan,Optimism
坚韧,Kiên cường,Perseverance
淡定,Bình tĩnh,Composure
从容,Từ từ,Leisurely
成熟,Trưởng thành,Maturity
尊严,Lương khí,Dignity
温柔,Dịu dàng,Gentleness
不迎合,Không xu nịnh,Not catering
不将就,Không thỏa hiệp,Not settling
不媚俗,Không mê tục,Not vulgar
内心强大,Tâm hồn mạnh mẽ,Strong inner self
面带微笑,Mỉm cười,Smiling
法国,Pháp,France
西蒙娜·波伏娃,Simone de Beauvoir,French writer
索菲亚·罗兰,Sophia Loren,Italian actress
蝴蝶效应,Hiệu ứng bướm,Butterfly effect
岁月,Thời gian,Time/years
