source,target,notes
做一个刚刚好的女子,Trở thành người phụ nữ vừa vặn,Book title
康静文,Khang Tĩnh Văn,Author name
刚刚好,Vừa vặn,Just right
女子,Phụ nữ,Women
女人,Phụ nữ,Women
气质,Khí chất,Disposition/temperament
修养,Dưỡng chất,Self-cultivation
魅力,Sức hút,Charm
幸福,Hạnh phúc,Happiness
成熟,Trưởng thành,Maturity
淡定,Bình tĩnh,Composure
从容,Từ từ,Leisurely
智慧,Trí tuệ,Wisdom
自信,Tự tin,Confidence
独立,Độc lập,Independence
尊严,Lương khí,Dignity
优雅,Thanh nhã,Elegance
温柔,Dịu dàng,Gentleness
坚强,Mạnh mẽ,Strength
勇敢,Dũng cảm,Courage
真诚,Chân thành,Sincerity
善良,Tốt bụng,Kindness
宽容,Khoan dung,Tolerance
感恩,Biết ơn,Gratitude
乐观,Lạc quan,Optimism
坚韧,Kiên cường,Perseverance
淡泊,Nhạt nhẽo,Indifference to fame
从容不迫,Không vội vã,Calm and unhurried
不攀附,Không nương tựa,Not clinging
不将就,Không thỏa hiệp,Not settling
不迷茫,Không lạc lối,Not being lost
不低头,Không cúi đầu,Not bowing down
内心强大,Tâm hồn mạnh mẽ,Strong inner self
面带微笑,Mỉm cười,Smiling
岁月,Thời gian,Time/years
