source,target,type,note,genre,book
练气,Luyện Khí,term,Cảnh giới tu luyện đầu tiên,tien-hiep,
筑基,Trúc Cơ,term,Cảnh giới tu luyện,tien-hiep,
金丹,Kim Đan,term,Cảnh giới tu luyện,tien-hiep,
元婴,Nguyên Anh,term,Cảnh giới tu luyện,tien-hiep,
化神,Hóa Thần,term,Cảnh giới tu luyện,tien-hiep,
渡劫,Độ Kiếp,term,Cảnh giới tu luyện,tien-hiep,
大乘,Đại Thừa,term,Cảnh giới tu luyện,tien-hiep,
修仙,Tu tiên,term,Hành động tu luyện thành tiên,tien-hiep,
灵气,Linh khí,term,Năng lượng tu luyện,tien-hiep,
灵根,Linh căn,term,Tư chất tu luyện,tien-hiep,
功法,Công pháp,term,Phương pháp tu luyện,tien-hiep,
法宝,Pháp bảo,term,Vũ khí/pháp khí tu sĩ,tien-hiep,
丹药,Đan dược,term,Thuốc tu luyện,tien-hiep,
阵法,Trận pháp,term,Phép thuật tạo trận,tien-hiep,
符箓,Phù lục,term,Bùa phép tu tiên,tien-hiep,
飞剑,Phi kiếm,term,Kiếm bay của tu sĩ,tien-hiep,
储物袋,Trữ vật đái,term,Túi đựng đồ không gian,tien-hiep,
灵石,Linh thạch,term,Tiền tệ tu tiên,tien-hiep,
道友,đạo hữu,term,Xưng hô giữa tu sĩ,tien-hiep,
师尊,sư tôn,term,Sư phụ (trang trọng),tien-hiep,
师弟,sư đệ,term,Xưng hô đệ tử,tien-hiep,
师兄,sư huynh,term,Xưng hô đệ tử,tien-hiep,
